id,image_label,tool_label
T5R3B3,used,2
T5R3B4,used,2
T5R4B1,used,2
T5R4B2,sharp,2
T5R4B3,used,2
T5R4B4,dulled,2
T5R5B1,used,2
T5R5B2,used,2
T5R5B3,dulled,2
T5R5B4,dulled,2
T5R6B1,dulled,3
T5R6B2,used,3
T5R6B3,dulled,3
T5R6B4,dulled,3
T5R7B1,dulled,3
T5R7B2,used,3
T5R7B3,dulled,3
T5R7B4,dulled,3
T5R8B1,dulled,3
T5R8B2,used,3
T5R8B3,dulled,3
T5R8B4,dulled,3
T5R9B1,dulled,3
T5R9B2,dulled,3
T5R9B3,dulled,3
T5R9B4,dulled,3
T5R10B1,dulled,3
T5R10B2,dulled,3
T5R10B3,dulled,3
T5R10B4,dulled,3
T5R11B1,dulled,3
T5R11B2,dulled,3
T5R11B3,dulled,3
T5R11B4,dulled,3
T5R12B1,dulled,3
T5R12B2,dulled,3
T5R12B3,dulled,3
T5R12B4,dulled,3
T6R1B1,sharp,1
T6R1B2,sharp,1
T6R1B3,sharp,1
T6R1B4,sharp,1
T6R2B1,sharp,1
T6R2B2,sharp,1
T6R2B3,sharp,1
T6R2B4,sharp,1
T6R3B1,sharp,1
T6R3B2,sharp,1
T6R3B3,sharp,1
T6R3B4,sharp,1
T6R4B1,sharp,1
T6R4B2,sharp,1
T6R4B3,sharp,1
T6R4B4,sharp,1
T6R5B1,used,1
T6R5B2,used,1
T6R5B3,used,1
T6R5B4,used,1
T6R6B1,used,1
T6R6B2,used,1
T6R6B3,used,1
T6R6B4,dulled,1
T6R7B1,used,2
T6R7B2,dulled,2
T6R7B3,used,2
T6R7B4,dulled,2
T6R8B1,sharp,2
T6R8B2,used,2
T6R8B3,used,2
T6R8B4,used,2
T6R9B1,sharp,2
T6R9B2,used,2
T6R9B3,used,2
T6R9B4,used,2
T6R10B1,used,2
T6R10B2,used,2
T6R10B3,used,2
T6R10B4,dulled,2
T6R11B1,used,2
T6R11B2,used,2
T6R11B3,used,2
T6R11B4,dulled,2
T6R12B1,used,2
T6R12B2,used,2
T6R12B3,dulled,2
T6R12B4,dulled,2
T6R13B1,used,3
T6R13B2,dulled,3
T6R13B3,dulled,3
T6R13B4,dulled,3
T6R14B1,used,3
T6R14B2,dulled,3
T6R14B3,dulled,3
T6R14B4,dulled,3
T6R15B1,dulled,3
T6R15B2,dulled,3
T6R15B3,dulled,3
T6R15B4,dulled,3
T7R1B1,sharp,1
T7R1B2,sharp,1
T7R1B3,sharp,1
T7R1B4,sharp,1
T7R2B1,sharp,1
T7R2B2,sharp,1
T7R2B3,sharp,1
T7R2B4,sharp,1
T7R3B1,sharp,1
T7R3B2,sharp,1
T7R3B3,sharp,1
T7R3B4,sharp,1
T7R4B1,sharp,1
T7R4B2,sharp,1
T7R4B3,sharp,1
T7R4B4,sharp,1
T7R5B1,sharp,1
T7R5B2,sharp,1
T7R5B3,sharp,1
T7R5B4,sharp,1
T7R6B1,sharp,1
T7R6B2,sharp,1
T7R6B3,sharp,1
T7R6B4,sharp,1
T7R7B1,sharp,1
T7R7B2,used,1
T7R7B3,sharp,1
T7R7B4,sharp,1
T7R8B1,sharp,2
T7R8B2,used,2
T7R8B3,used,2
T7R8B4,sharp,2
T7R9B1,used,2
T7R9B2,used,2
T7R9B3,used,2
T7R9B4,used,2
T7R10B1,used,2
T7R10B2,used,2
T7R10B3,used,2
T7R10B4,used,2
T7R11B1,used,2
T7R11B2,used,2
T7R11B3,used,2
T7R11B4,used,2
T7R12B1,used,2
T7R12B2,used,2
T7R12B3,dulled,2
T7R12B4,used,2
T7R13B1,dulled,3
T7R13B2,dulled,3
T7R13B3,dulled,3
T7R13B4,dulled,3
T7R14B1,dulled,3
T7R14B2,dulled,3
T7R14B3,dulled,3
T7R14B4,dulled,3
T8R1B1,sharp,1
T8R1B2,sharp,1
T8R1B3,sharp,1
T8R1B4,sharp,1
T8R2B1,sharp,1
T8R2B2,sharp,1
T8R2B3,sharp,1
T8R2B4,sharp,1
T8R3B1,sharp,1
T8R3B2,sharp,1
T8R3B3,sharp,1
T8R3B4,sharp,1
T8R4B1,sharp,1
T8R4B2,sharp,1
T8R4B3,sharp,1
T8R4B4,sharp,1
T8R5B1,sharp,1
T8R5B2,sharp,1
T8R5B3,sharp,1
T8R5B4,sharp,1
T8R6B1,sharp,1
T8R6B2,sharp,1
T8R6B3,sharp,1
T8R6B4,sharp,1
T8R7B1,used,2
T8R7B2,used,2
T8R7B3,dulled,2
T8R7B4,dulled,2
T8R8B1,used,2
T8R8B2,used,2
T8R8B3,used,2
T8R8B4,used,2
T8R9B1,used,2
T8R9B2,used,2
T8R9B3,used,2
T8R9B4,used,2
T8R10B1,used,2
T8R10B2,used,2
T8R10B3,dulled,2
T8R10B4,used,2
T8R11B1,used,2
T8R11B2,used,2
T8R11B3,dulled,2
T8R11B4,used,2
T8R12B1,used,3
T8R12B2,dulled,3
T8R12B3,dulled,3
T8R12B4,dulled,3
T8R13B1,used,3
T8R13B2,dulled,3
T8R13B3,dulled,3
T8R13B4,dulled,3
AugT1R2B10,sharp,1
AugT1R2B11,sharp,1
AugT1R2B12,sharp,1
AugT1R2B13,sharp,1
AugT1R2B14,sharp,1
AugT1R2B20,sharp,1
AugT1R2B21,sharp,1
AugT1R2B22,sharp,1
AugT1R2B23,sharp,1
AugT1R2B24,sharp,1
AugT1R2B30,sharp,1
AugT1R2B31,sharp,1
AugT1R2B32,sharp,1
AugT1R2B33,sharp,1
AugT1R2B34,sharp,1
AugT1R2B40,sharp,1
AugT1R2B41,sharp,1
AugT1R2B42,sharp,1
AugT1R2B43,sharp,1
AugT1R2B44,sharp,1
AugT1R3B10,sharp,1
AugT1R3B11,sharp,1
AugT1R3B12,sharp,1
AugT1R3B13,sharp,1
AugT1R3B14,sharp,1
AugT1R3B20,sharp,1
AugT1R3B21,sharp,1
AugT1R3B22,sharp,1
AugT1R3B23,sharp,1
AugT1R3B24,sharp,1
AugT1R3B30,sharp,1
AugT1R3B31,sharp,1
AugT1R3B32,sharp,1
AugT1R3B33,sharp,1
AugT1R3B34,sharp,1
AugT1R3B40,sharp,1
AugT1R3B41,sharp,1
AugT1R3B42,sharp,1
AugT1R3B43,sharp,1
AugT1R3B44,sharp,1
AugT1R4B10,sharp,1
AugT1R4B11,sharp,1
AugT1R4B12,sharp,1
AugT1R4B13,sharp,1
AugT1R4B14,sharp,1
AugT1R4B20,sharp,1
AugT1R4B21,sharp,1
AugT1R4B22,sharp,1
AugT1R4B23,sharp,1
AugT1R4B24,sharp,1
AugT1R4B30,used,1
AugT1R4B31,used,1
AugT1R4B32,used,1
AugT1R4B33,used,1
AugT1R4B34,used,1
AugT1R4B40,sharp,1
AugT1R4B41,sharp,1
AugT1R4B42,sharp,1
AugT1R4B43,sharp,1
AugT1R4B44,sharp,1
AugT1R5B10,sharp,2
AugT1R5B11,sharp,2
AugT1R5B12,sharp,2
AugT1R5B13,sharp,2
AugT1R5B14,sharp,2
AugT1R5B20,sharp,2
AugT1R5B21,sharp,2
AugT1R5B22,sharp,2
AugT1R5B23,sharp,2
AugT1R5B24,sharp,2
AugT1R5B30,used,2
AugT1R5B31,used,2
AugT1R5B32,used,2
AugT1R5B33,used,2
AugT1R5B34,used,2
AugT1R5B40,used,2
AugT1R5B41,used,2
AugT1R5B42,used,2
AugT1R5B43,used,2
AugT1R5B44,used,2
AugT1R6B10,used,2
AugT1R6B11,used,2
AugT1R6B12,used,2
AugT1R6B13,used,2
AugT1R6B14,used,2
AugT1R6B20,sharp,2
AugT1R6B21,sharp,2
AugT1R6B22,sharp,2
AugT1R6B23,sharp,2
AugT1R6B24,sharp,2
AugT1R6B30,used,2
AugT1R6B31,used,2
AugT1R6B32,used,2
AugT1R6B33,used,2
AugT1R6B34,used,2
AugT1R6B40,used,2
AugT1R6B41,used,2
AugT1R6B42,used,2
AugT1R6B43,used,2
AugT1R6B44,used,2
AugT1R7B10,used,2
AugT1R7B11,used,2
AugT1R7B12,used,2
AugT1R7B13,used,2
AugT1R7B14,used,2
AugT1R7B20,used,2
AugT1R7B21,used,2
AugT1R7B22,used,2
AugT1R7B23,used,2
AugT1R7B24,used,2
AugT1R7B30,used,2
AugT1R7B31,used,2
AugT1R7B32,used,2
AugT1R7B33,used,2
AugT1R7B34,used,2
AugT1R7B40,used,2
AugT1R7B41,used,2
AugT1R7B42,used,2
AugT1R7B43,used,2
AugT1R7B44,used,2
AugT1R8B10,used,2
AugT1R8B11,used,2
AugT1R8B12,used,2
AugT1R8B13,used,2
AugT1R8B14,used,2
AugT1R8B20,used,2
AugT1R8B21,used,2
AugT1R8B22,used,2
AugT1R8B23,used,2
AugT1R8B24,used,2
AugT1R8B30,used,2
AugT1R8B31,used,2
AugT1R8B32,used,2
AugT1R8B33,used,2
AugT1R8B34,used,2
AugT1R8B40,used,2
AugT1R8B41,used,2
AugT1R8B42,used,2
AugT1R8B43,used,2
AugT1R8B44,used,2
AugT1R9B10,used,3
AugT1R9B11,used,3
AugT1R9B12,used,3
AugT1R9B13,used,3
AugT1R9B14,used,3
AugT1R9B20,used,3
AugT1R9B21,used,3
AugT1R9B22,used,3
AugT1R9B23,used,3
AugT1R9B24,used,3
AugT1R9B30,dulled,3
AugT1R9B31,dulled,3
AugT1R9B32,dulled,3
AugT1R9B33,dulled,3
AugT1R9B34,dulled,3
AugT1R9B40,dulled,3
AugT1R9B41,dulled,3
AugT1R9B42,dulled,3
AugT1R9B43,dulled,3
AugT1R9B44,dulled,3
AugT1R10B10,dulled,3
AugT1R10B11,dulled,3
AugT1R10B12,dulled,3
AugT1R10B13,dulled,3
AugT1R10B14,dulled,3
AugT1R10B20,dulled,3
AugT1R10B21,dulled,3
AugT1R10B22,dulled,3
AugT1R10B23,dulled,3
AugT1R10B24,dulled,3
AugT1R10B30,dulled,3
AugT1R10B31,dulled,3
AugT1R10B32,dulled,3
AugT1R10B33,dulled,3
AugT1R10B34,dulled,3
AugT1R10B40,dulled,3
AugT1R10B41,dulled,3
AugT1R10B42,dulled,3
AugT1R10B43,dulled,3
AugT1R10B44,dulled,3
AugT1R11B10,dulled,3
AugT1R11B11,dulled,3
AugT1R11B12,dulled,3
AugT1R11B13,dulled,3
AugT1R11B14,dulled,3
AugT1R11B20,dulled,3
AugT1R11B21,dulled,3
AugT1R11B22,dulled,3
AugT1R11B23,dulled,3
AugT1R11B24,dulled,3
AugT1R11B30,dulled,3
AugT1R11B31,dulled,3
AugT1R11B32,dulled,3
AugT1R11B33,dulled,3
AugT1R11B34,dulled,3
AugT1R11B40,dulled,3
AugT1R11B41,dulled,3
AugT1R11B42,dulled,3
AugT1R11B43,dulled,3
AugT1R11B44,dulled,3
AugT2R1B10,sharp,1
AugT2R1B11,sharp,1
AugT2R1B12,sharp,1
AugT2R1B13,sharp,1
AugT2R1B14,sharp,1
AugT2R1B20,sharp,1
AugT2R1B21,sharp,1
AugT2R1B22,sharp,1
AugT2R1B23,sharp,1
AugT2R1B24,sharp,1
AugT2R1B30,sharp,1
AugT2R1B31,sharp,1
AugT2R1B32,sharp,1
AugT2R1B33,sharp,1
AugT2R1B34,sharp,1
AugT2R1B40,sharp,1
AugT2R1B41,sharp,1
AugT2R1B42,sharp,1
AugT2R1B43,sharp,1
AugT2R1B44,sharp,1
AugT2R2B10,sharp,1
AugT2R2B11,sharp,1
AugT2R2B12,sharp,1
AugT2R2B13,sharp,1
AugT2R2B14,sharp,1
AugT2R2B20,sharp,1
AugT2R2B21,sharp,1
AugT2R2B22,sharp,1
AugT2R2B23,sharp,1
AugT2R2B24,sharp,1
AugT2R2B30,sharp,1
AugT2R2B31,sharp,1
AugT2R2B32,sharp,1
AugT2R2B33,sharp,1
AugT2R2B34,sharp,1
AugT2R2B40,sharp,1
AugT2R2B41,sharp,1
AugT2R2B42,sharp,1
AugT2R2B43,sharp,1
AugT2R2B44,sharp,1
AugT2R3B10,sharp,1
AugT2R3B11,sharp,1
AugT2R3B12,sharp,1
AugT2R3B13,sharp,1
AugT2R3B14,sharp,1
AugT2R3B20,sharp,1
AugT2R3B21,sharp,1
AugT2R3B22,sharp,1
AugT2R3B23,sharp,1
AugT2R3B24,sharp,1
AugT2R3B30,sharp,1
AugT2R3B31,sharp,1
AugT2R3B32,sharp,1
AugT2R3B33,sharp,1
AugT2R3B34,sharp,1
AugT2R3B40,sharp,1
AugT2R3B41,sharp,1
AugT2R3B42,sharp,1
AugT2R3B43,sharp,1
AugT2R3B44,sharp,1
AugT2R4B10,sharp,1
AugT2R4B11,sharp,1
AugT2R4B12,sharp,1
AugT2R4B13,sharp,1
AugT2R4B14,sharp,1
AugT2R4B20,sharp,1
AugT2R4B21,sharp,1
AugT2R4B22,sharp,1
AugT2R4B23,sharp,1
AugT2R4B24,sharp,1
AugT2R4B30,sharp,1
AugT2R4B31,sharp,1
AugT2R4B32,sharp,1
AugT2R4B33,sharp,1
AugT2R4B34,sharp,1
AugT2R4B40,sharp,1
AugT2R4B41,sharp,1
AugT2R4B42,sharp,1
AugT2R4B43,sharp,1
AugT2R4B44,sharp,1
AugT2R5B10,sharp,1
AugT2R5B11,sharp,1
AugT2R5B12,sharp,1
AugT2R5B13,sharp,1
AugT2R5B14,sharp,1
AugT2R5B20,sharp,1
AugT2R5B21,sharp,1
AugT2R5B22,sharp,1
AugT2R5B23,sharp,1
AugT2R5B24,sharp,1
AugT2R5B30,used,1
AugT2R5B31,used,1
AugT2R5B32,used,1
AugT2R5B33,used,1
AugT2R5B34,used,1
AugT2R5B40,sharp,1
AugT2R5B41,sharp,1
AugT2R5B42,sharp,1
AugT2R5B43,sharp,1
AugT2R5B44,sharp,1
AugT2R6B10,used,2
AugT2R6B11,used,2
AugT2R6B12,used,2
AugT2R6B13,used,2
AugT2R6B14,used,2
AugT2R6B20,used,2
AugT2R6B21,used,2
AugT2R6B22,used,2
AugT2R6B23,used,2
AugT2R6B24,used,2
AugT2R6B30,used,2
AugT2R6B31,used,2
AugT2R6B32,used,2
AugT2R6B33,used,2
AugT2R6B34,used,2
AugT2R6B40,used,2
AugT2R6B41,used,2
AugT2R6B42,used,2
AugT2R6B43,used,2
AugT2R6B44,used,2
AugT2R7B10,used,2
AugT2R7B11,used,2
AugT2R7B12,used,2
AugT2R7B13,used,2
AugT2R7B14,used,2
AugT2R7B20,used,2
AugT2R7B21,used,2
AugT2R7B22,used,2
AugT2R7B23,used,2
AugT2R7B24,used,2
AugT2R7B30,used,2
AugT2R7B31,used,2
AugT2R7B32,used,2
AugT2R7B33,used,2
AugT2R7B34,used,2
AugT2R7B40,used,2
AugT2R7B41,used,2
AugT2R7B42,used,2
AugT2R7B43,used,2
AugT2R7B44,used,2
AugT2R8B10,used,2
AugT2R8B11,used,2
AugT2R8B12,used,2
AugT2R8B13,used,2
AugT2R8B14,used,2
AugT2R8B20,used,2
AugT2R8B21,used,2
AugT2R8B22,used,2
AugT2R8B23,used,2
AugT2R8B24,used,2
AugT2R8B30,used,2
AugT2R8B31,used,2
AugT2R8B32,used,2
AugT2R8B33,used,2
AugT2R8B34,used,2
AugT2R8B40,used,2
AugT2R8B41,used,2
AugT2R8B42,used,2
AugT2R8B43,used,2
AugT2R8B44,used,2
AugT2R9B10,used,2
AugT2R9B11,used,2
AugT2R9B12,used,2
AugT2R9B13,used,2
AugT2R9B14,used,2
AugT2R9B20,used,2
AugT2R9B21,used,2
AugT2R9B22,used,2
AugT2R9B23,used,2
AugT2R9B24,used,2
AugT2R9B30,used,2
AugT2R9B31,used,2
AugT2R9B32,used,2
AugT2R9B33,used,2
AugT2R9B34,used,2
AugT2R9B40,used,2
AugT2R9B41,used,2
AugT2R9B42,used,2
AugT2R9B43,used,2
AugT2R9B44,used,2
AugT2R11B10,used,2
AugT2R11B11,used,2
AugT2R11B12,used,2
AugT2R11B13,used,2
AugT2R11B14,used,2
AugT2R11B20,used,2
AugT2R11B21,used,2
AugT2R11B22,used,2
AugT2R11B23,used,2
AugT2R11B24,used,2
AugT2R11B30,used,2
AugT2R11B31,used,2
AugT2R11B32,used,2
AugT2R11B33,used,2
AugT2R11B34,used,2
AugT2R11B40,dulled,2
AugT2R11B41,dulled,2
AugT2R11B42,dulled,2
AugT2R11B43,dulled,2
AugT2R11B44,dulled,2
AugT2R12B10,dulled,3
AugT2R12B11,dulled,3
AugT2R12B12,dulled,3
AugT2R12B13,dulled,3
AugT2R12B14,dulled,3
AugT2R12B20,dulled,3
AugT2R12B21,dulled,3
AugT2R12B22,dulled,3
AugT2R12B23,dulled,3
AugT2R12B24,dulled,3
AugT2R12B30,used,3
AugT2R12B31,used,3
AugT2R12B32,used,3
AugT2R12B33,used,3
AugT2R12B34,used,3
AugT2R12B40,dulled,3
AugT2R12B41,dulled,3
AugT2R12B42,dulled,3
AugT2R12B43,dulled,3
AugT2R12B44,dulled,3
AugT2R13B10,dulled,3
AugT2R13B11,dulled,3
AugT2R13B12,dulled,3
AugT2R13B13,dulled,3
AugT2R13B14,dulled,3
AugT2R13B20,dulled,3
AugT2R13B21,dulled,3
AugT2R13B22,dulled,3
AugT2R13B23,dulled,3
AugT2R13B24,dulled,3
AugT2R13B30,dulled,3
AugT2R13B31,dulled,3
AugT2R13B32,dulled,3
AugT2R13B33,dulled,3
AugT2R13B34,dulled,3
AugT2R13B40,dulled,3
AugT2R13B41,dulled,3
AugT2R13B42,dulled,3
AugT2R13B43,dulled,3
AugT2R13B44,dulled,3
AugT2R14B10,dulled,3
AugT2R14B11,dulled,3
AugT2R14B12,dulled,3
AugT2R14B13,dulled,3
AugT2R14B14,dulled,3
AugT2R14B20,dulled,3
AugT2R14B21,dulled,3
AugT2R14B22,dulled,3
AugT2R14B23,dulled,3
AugT2R14B24,dulled,3
AugT2R14B30,dulled,3
AugT2R14B31,dulled,3
AugT2R14B32,dulled,3
AugT2R14B33,dulled,3
AugT2R14B34,dulled,3
AugT2R14B40,dulled,3
AugT2R14B41,dulled,3
AugT2R14B42,dulled,3
AugT2R14B43,dulled,3
AugT2R14B44,dulled,3
AugT2R15B10,dulled,3
AugT2R15B11,dulled,3
AugT2R15B12,dulled,3
AugT2R15B13,dulled,3
AugT2R15B14,dulled,3
AugT2R15B20,dulled,3
AugT2R15B21,dulled,3
AugT2R15B22,dulled,3
AugT2R15B23,dulled,3
AugT2R15B24,dulled,3
AugT2R15B30,dulled,3
AugT2R15B31,dulled,3
AugT2R15B32,dulled,3
AugT2R15B33,dulled,3
AugT2R15B34,dulled,3
AugT2R15B40,dulled,3
AugT2R15B41,dulled,3
AugT2R15B42,dulled,3
AugT2R15B43,dulled,3
AugT2R15B44,dulled,3
AugT3R1B10,sharp,1
AugT3R1B11,sharp,1
AugT3R1B12,sharp,1
AugT3R1B13,sharp,1
AugT3R1B14,sharp,1
AugT3R1B20,sharp,1
AugT3R1B21,sharp,1
AugT3R1B22,sharp,1
AugT3R1B23,sharp,1
AugT3R1B24,sharp,1
AugT3R1B30,sharp,1
AugT3R1B31,sharp,1
AugT3R1B32,sharp,1
AugT3R1B33,sharp,1
AugT3R1B34,sharp,1
AugT3R1B40,sharp,1
AugT3R1B41,sharp,1
AugT3R1B42,sharp,1
AugT3R1B43,sharp,1
AugT3R1B44,sharp,1
AugT3R2B10,sharp,1
AugT3R2B11,sharp,1
AugT3R2B12,sharp,1
AugT3R2B13,sharp,1
AugT3R2B14,sharp,1
AugT3R2B20,sharp,1
AugT3R2B21,sharp,1
AugT3R2B22,sharp,1
AugT3R2B23,sharp,1
AugT3R2B24,sharp,1
AugT3R2B30,sharp,1
AugT3R2B31,sharp,1
AugT3R2B32,sharp,1
AugT3R2B33,sharp,1
AugT3R2B34,sharp,1
AugT3R2B40,sharp,1
AugT3R2B41,sharp,1
AugT3R2B42,sharp,1
AugT3R2B43,sharp,1
AugT3R2B44,sharp,1
AugT3R3B10,sharp,1
AugT3R3B11,sharp,1
AugT3R3B12,sharp,1
AugT3R3B13,sharp,1
AugT3R3B14,sharp,1
AugT3R3B20,sharp,1
AugT3R3B21,sharp,1
AugT3R3B22,sharp,1
AugT3R3B23,sharp,1
AugT3R3B24,sharp,1
AugT3R3B30,sharp,1
AugT3R3B31,sharp,1
AugT3R3B32,sharp,1
AugT3R3B33,sharp,1
AugT3R3B34,sharp,1
AugT3R3B40,sharp,1
AugT3R3B41,sharp,1
AugT3R3B42,sharp,1
AugT3R3B43,sharp,1
AugT3R3B44,sharp,1
AugT3R4B10,sharp,1
AugT3R4B11,sharp,1
AugT3R4B12,sharp,1
AugT3R4B13,sharp,1
AugT3R4B14,sharp,1
AugT3R4B20,sharp,1
AugT3R4B21,sharp,1
AugT3R4B22,sharp,1
AugT3R4B23,sharp,1
AugT3R4B24,sharp,1
AugT3R4B30,sharp,1
AugT3R4B31,sharp,1
AugT3R4B32,sharp,1
AugT3R4B33,sharp,1
AugT3R4B34,sharp,1
AugT3R4B40,sharp,1
AugT3R4B41,sharp,1
AugT3R4B42,sharp,1
AugT3R4B43,sharp,1
AugT3R4B44,sharp,1
AugT3R5B10,used,2
AugT3R5B11,used,2
AugT3R5B12,used,2
AugT3R5B13,used,2
AugT3R5B14,used,2
AugT3R5B20,used,2
AugT3R5B21,used,2
AugT3R5B22,used,2
AugT3R5B23,used,2
AugT3R5B24,used,2
AugT3R5B30,used,2
AugT3R5B31,used,2
AugT3R5B32,used,2
AugT3R5B33,used,2
AugT3R5B34,used,2
AugT3R5B40,dulled,2
AugT3R5B41,dulled,2
AugT3R5B42,dulled,2
AugT3R5B43,dulled,2
AugT3R5B44,dulled,2
AugT3R6B10,dulled,2
AugT3R6B11,dulled,2
AugT3R6B12,dulled,2
AugT3R6B13,dulled,2
AugT3R6B14,dulled,2
AugT3R6B20,used,2
AugT3R6B21,used,2
AugT3R6B22,used,2
AugT3R6B23,used,2
AugT3R6B24,used,2
AugT3R6B30,used,2
AugT3R6B31,used,2
AugT3R6B32,used,2
AugT3R6B33,used,2
AugT3R6B34,used,2
AugT3R6B40,dulled,2
AugT3R6B41,dulled,2
AugT3R6B42,dulled,2
AugT3R6B43,dulled,2
AugT3R6B44,dulled,2
AugT3R7B10,dulled,3
AugT3R7B11,dulled,3
AugT3R7B12,dulled,3
AugT3R7B13,dulled,3
AugT3R7B14,dulled,3
AugT3R7B20,used,3
AugT3R7B21,used,3
AugT3R7B22,used,3
AugT3R7B23,used,3
AugT3R7B24,used,3
AugT3R7B30,used,3
AugT3R7B31,used,3
AugT3R7B32,used,3
AugT3R7B33,used,3
AugT3R7B34,used,3
AugT3R7B40,dulled,3
AugT3R7B41,dulled,3
AugT3R7B42,dulled,3
AugT3R7B43,dulled,3
AugT3R7B44,dulled,3
AugT3R8B10,dulled,3
AugT3R8B11,dulled,3
AugT3R8B12,dulled,3
AugT3R8B13,dulled,3
AugT3R8B14,dulled,3
AugT3R8B20,used,3
AugT3R8B21,used,3
AugT3R8B22,used,3
